date,gameVersion
2018-09-16,8192456165
2018-09-14,8192455840
2018-09-14,8192454753
2018-09-14,8192454694
2018-09-13,8192453279
2018-09-12,8192451896
2018-09-12,8192451804
2018-09-11,8192451762
2018-09-19,8182458480
2018-09-17,8182457416
2018-09-13,8182454694
2018-09-13,8182454647
2018-09-13,8182453667
2018-09-12,8182449800
2018-09-11,8182448261
2018-09-06,8182444317
2018-09-06,8182444301
2018-09-05,8182444009
2018-09-01,8182441362
2018-09-01,818244303
2018-08-31,8182439329
2018-08-30,8182438907
2018-09-18,8182437852
2018-08-29,8182437098
2018-08-29,8182436090
2018-09-04,8172437548
2018-09-04,8172437413
2018-08-30,8172433836
2018-08-25,8172433340
2018-08-25,8172433257
2018-08-24,8172431120
2018-08-23,81724388
2018-08-21,8172428449
2018-08-21,8172428373
2018-08-20,8172427207
2018-08-20,8172427030
2018-08-18,8172425699
2018-08-18,8172425492
2018-08-17,8172424698
2018-08-17,8172424436
2018-08-16,8172424354
2018-08-16,8172423202
2018-08-16,8172423171
2018-08-16,8172423166
2018-08-15,8172421120
2018-08-14,817242919
2018-08-14,817242556
2018-08-16,8162418459
2018-08-14,8162418451
2018-08-11,8162416543
2018-08-09,8162414799
2018-08-09,8162414798
2018-08-08,8162413395
2018-08-08,8162413307
2018-08-07,8162411755
2018-08-07,8162411699
2018-08-07,8162409964
2018-08-06,8162409811
2018-08-06,8162409643
2018-08-04,8162408268
2018-08-04,8162407937
2018-08-03,8162407806
2018-08-03,8162407150
2018-08-03,8162405981
2018-08-02,8162405858
2018-08-02,8162405679
2018-08-01,8162403857
2018-08-01,8162403658
2018-07-31,8162402308
2018-07-31,8162402039
2018-07-31,8162401846
2018-08-07,8152408595
2018-08-09,8152406550
2018-08-04,8152404452
2018-08-07,8152402398
2018-08-02,8152402334
2018-07-31,815240173
2018-07-28,8152399021
2018-07-27,8152397861
2018-07-27,8152397082
2018-07-26,8152395486
2018-07-26,8152395155
2018-07-26,8152394719
2018-07-26,8152393558
2018-07-25,8152393233
2018-07-25,8152393224
2018-07-25,8152393107
2018-07-24,815239891
2018-07-23,815239685
2018-07-23,815239578
2018-07-20,8152388240
2018-07-20,8152388099
